"population","household.size","race.pctblack","race.pctwhite","race.pctasian","race.pcthisp","age.pct12to21","age.pct12to29","age.pct16to24","age.pct65up","pct.urban","med.income","pct.wage.inc","pct.farmself.inc","pct.inv.inc","pct.socsec.inc","pct.pubasst.inc","pct.retire","med.family.inc","percap.inc","white.percap","black.percap","indian.percap","asian.percap","hisp.percap","pct.pop.underpov","pct.less9thgrade","pct.not.hsgrad","pct.bs.ormore","pct.unemployed","pct.employed","pct.employed.manuf","pct.employed.profserv","pct.occup.manuf","pct.occup.mgmtprof","male.pct.divorce","male.pct.nvrmarried","female.pct.divorce","total.pct.divorce","ave.people.per.fam","pct.fam2parents","pct.kids2parents","pct.youngkids2parents","pct.teens2parents","pct.workmom.youngkids","pct.workmom","num.kids.nvrmarried","pct.kids.nvrmarried","num.immig","pct.immig.recent","pct.immig.recent5","pct.immig.recent8","pct.immig.recent10","pct.pop.immig","pct.pop.immig5","pct.pop.immig8","pct.pop.immig10","pct.english.only","pct.no.english.well","pct.fam.hh.large","pct.occup.hh.large","ave.people.per.hh","ave.people.per.ownoccup.hh","ave.people.per.rented.hh","pct.people.ownoccup.hh","pct.people.dense.hh","pct.hh.less3br","med.num.br","pct.house.occup","pct.house.ownoccup","pct.house.vacant","pct.house.vacant.6moplus","med.yr.house.built","pct.house.nophone","pct.house.no.plumb","value.ownoccup.house.lowquart","value.ownoccup.med","value.ownoccup.highquart","ownoccup.qrange","rent.lowquart","rent.med","rent.highquart","rent.qrange","med.rent","med.rent.aspct.hhinc","med.owncost.aspct.hhinc.wmort","med.owncost.as.pct.hhinc.womort","num.in.shelters","num.homeless","pct.foreignborn","pct.born.samestate","pct.samehouse1985","pct.samecity1985","pct.samestate1985","land.area","pop.density","pct.use.publictransit","violentcrimes.perpop"
47217,2.64,3.85,92.82,1.75,9.98,12.46,26.77,12,8.46,100,36843,87,0.39,38.53,19.32,2.99,10.16,41768,16747,17319,7042,20457,12342,13599,7.77,4.56,19.32,20.5,4.66,70.62,9.29,20,8.95,27.69,11.74,27.29,15.43,13.64,3.06,76.49,73.84,86.33,76.04,59.89,71,648,2.1,5150,17.63,24.35,33.59,44.99,1.92,2.66,3.66,4.91,84.18,2.08,3.49,2.51,2.62,2.69,2.43,75.71,4.32,51.08,2,90.03,73.83,2.88,27.45,1979,2.97,0.4,75900,106600,150900,75000,392,498,601,209,581,26.3,24.8,11.3,0,0,10.91,30.22,36.21,71.45,83.54,33.5,1411.1,0.49,536.18
14903,2.35,27.56,71.41,0.38,1.96,11.77,22.27,10.95,21.61,0,20213,64.65,1.06,36.06,42.96,9.09,22.04,24225,11457,13620,5827,20315,17962,7395,19.62,12.38,33.58,13.66,7.76,50.09,11.45,26.74,14.4,21.31,12.45,23.83,15.62,14.22,2.86,57.25,50.73,54.49,51.45,59.78,70.98,748,5.39,485,21.86,24.12,32.58,38.35,0.71,0.79,1.06,1.25,94.86,0.65,4.2,2.73,2.28,2.14,2.48,54.11,4.16,62.53,2,86.65,57.67,6.65,29.04,1971,10.13,0.31,42100,54900,76400,34300,193,275,344,151,358,25.6,18.7,11.5,44,0,3.25,41.55,48.94,74.5,85.28,9.3,1604.5,0.67,2018.97
16922,1.86,1.27,98.27,0.3,0.68,4.68,9.38,4.64,48.35,100,27834,39.25,0.94,69.63,68.37,3.68,40.08,33024,19940,20227,2476,14111,17620,11562,5.79,6.2,19.28,23.32,3.96,27.58,8.34,27.49,8.22,26.11,7.78,13.07,9.61,8.84,2.29,63.39,60.8,84.08,71.14,57.14,71.89,107,0.61,1140,2.72,3.16,4.04,4.82,0.18,0.21,0.27,0.33,93.51,0.91,1.05,0.63,1.8,1.81,1.76,74.92,0.81,81.68,2,72.94,74.38,0.06,32.62,1974,3.02,0,68800,91300,130700,61900,369,468,605,236,535,29.4,22.6,11.2,0,3,6.74,6.75,49.33,69.68,74.8,7.7,2201.1,0.15,353.42
22754,2.71,21.26,75.56,0.57,8.3,13.83,25.82,12.12,12.46,0,25268,77.36,1.65,28.1,28.59,8.51,13.4,30513,12292,13802,6797,12475,104100,6602,17.84,14.22,32.03,13.45,5.34,60.55,16.97,18.88,19.25,21.82,11.77,23.21,14.76,13.4,3.15,66.79,60.59,70.03,74.54,52.65,64.3,890,4.57,1033,12.29,31.95,38.92,47.14,0.56,1.45,1.77,2.14,90.35,1.99,6.52,4.82,2.67,2.62,2.76,64.63,7.05,49.11,3,89.79,65.81,2.2,29.42,1973,13.03,0.73,42500,59900,89500,47000,224,315,397,173,400,28,22.5,13,0,6,4.54,50.54,42.36,76.15,84.52,21.9,1037.9,0,2523.46
74991,2.52,1.01,97.47,0.62,3.67,10.48,20.43,9.11,20.68,97.8,31177,68.06,0.54,51.63,41.25,3.19,28.4,33916,14934,15067,10717,7924,8768,8938,5.91,5.24,18.63,15.22,4.35,54.69,6.96,21.15,10.25,22.82,8.06,17.72,10.38,9.28,2.81,79.67,77.25,89.09,81.75,65.3,74.28,339,0.57,4881,6.92,11.99,17.89,21.84,0.45,0.78,1.16,1.42,91.03,0.91,2.43,1.9,2.5,2.49,2.55,74.62,1.66,37.67,3,86.26,75.11,0.15,21.57,1981,1.3,0.1,70000,91100,130500,60500,375,438,537,162,533,26.7,23.6,11.9,0,0,6.51,13.69,34.49,60.88,66.97,108.9,688.6,0.42,303.72
50961,2.23,16.22,81.99,0.69,4.73,10.72,22.78,11.3,21.45,100,24884,65.37,0.45,45.23,40.1,5.56,18.68,30236,16151,18170,6604,9891,8046,9055,13.25,7.79,23.64,21,4.69,55.05,8.58,23.37,10.18,24.92,15.18,30.93,17.66,16.51,2.73,55.96,50.44,61.32,57.17,65.83,74.7,1902,4.87,3297,10.01,17.05,22.72,29.69,0.65,1.1,1.47,1.92,91.07,1.38,3.36,1.98,2.14,2.11,2.19,55.93,3.95,70.12,2,84.61,56.88,2.91,24.86,1967,7.96,0.3,55700,71600,107800,52100,317,411,509,192,492,28.6,23,12.2,84,7,6.47,27.13,45.21,73.63,81.08,15.2,3363.3,1.55,1846.45
47181,2.21,26.28,71.99,0.68,6.08,8.02,18.34,8.34,28.6,100,31146,59.93,0.57,54.61,48.39,4.44,21.86,36191,21292,26432,7689,16552,17428,10138,11.35,9.78,25.41,21.52,7.2,48.53,7.3,21,8.72,26.09,10.13,25.62,12.17,11.22,2.7,61.66,53.95,71.78,67.55,69.24,73.42,2077,5.48,6745,13.89,30.36,40.33,54.83,1.99,4.34,5.77,7.84,82.75,4.53,5.06,3.19,2.19,2.15,2.3,68.88,5.26,72.68,2,77.71,70.3,2.17,26.66,1975,4.25,0.3,65200,92900,150700,85500,390,513,637,247,599,28.6,24.2,12.9,0,12,14.3,21.92,49.44,74.32,80.69,15.4,3070.1,0.99,1399.48
24832,2.38,10.39,86.05,1.41,16.5,9.66,26.43,11.67,10.67,0,28121,80.82,0.84,38.07,19.69,5.32,13.61,31663,15547,16460,9337,23290,13734,13547,10.39,9.45,20.15,20.84,2.86,71.63,2.91,16.67,7.47,23.8,14.95,37.06,16.99,15.89,2.97,76.31,73.2,85.14,78.33,67.8,78.17,291,1.99,2312,12.93,16.78,22.92,30.28,1.2,1.56,2.13,2.82,78.79,3.64,3.51,2.03,2.31,2.27,2.35,41.27,5.5,65.73,2,85.3,42.06,1.84,20.87,1957,8.58,1.21,103400,147400,197900,94500,419,559,730,311,608,30.9,26.7,12.8,0,113,9.31,33.18,37.97,57.39,66.45,5.7,4378,1.67,1523.92
70576,2.38,20.2,78.12,0.9,3.26,13.18,24.59,12.95,20.31,100,24462,66.97,0.7,40.27,38.71,6.44,20.9,29229,13487,15297,6863,13116,9113,12874,13.96,9.4,26.03,19.27,6.59,52.73,12.41,24.67,14.48,26.35,11.86,25.33,14.73,13.44,2.84,63.38,56.58,70.65,66.17,63.37,72.38,2736,4.84,3011,10.06,16.11,19.59,29.46,0.43,0.69,0.84,1.26,93.55,0.92,3.87,2.53,2.29,2.31,2.25,59.76,3.4,60.9,2,84.89,59.04,1.74,32.23,1971,7.61,0.28,45200,61600,86500,41300,243,316,396,153,403,25.9,19.9,12.4,145,30,4.27,38.7,44.93,74.03,83.02,39.8,1774.5,1.24,1523.3
40663,2.82,15.66,79.29,2.3,17.33,12.99,26.33,11.65,8.86,99.77,35794,84.84,0.87,35.88,20.94,3.49,10.72,38708,13820,14313,11824,15109,12462,12233,8.38,6.36,22.05,14.94,4.79,69.35,9.99,22.23,8.95,25.85,10,26.97,14.59,12.42,3.2,75.62,72.6,84.03,75.61,67.71,75.85,695,2.51,8156,9.85,15.39,25.37,34.31,1.97,3.09,5.09,6.88,77.56,2.93,5.61,4.33,2.82,2.86,2.72,78.62,7.18,47.15,3,94.44,77.78,1.89,30.54,1969,1.47,0.57,68200,81200,94800,26600,424,519,613,189,610,29.1,22.9,13.7,0,0,20.06,30.92,46.36,66.19,83.1,30.7,1322.6,0.9,743.07
10507,2.67,4.66,91.37,3.03,3.06,15.3,27.32,13.17,8.19,100,31510,82.98,0.5,45.13,20.19,4.15,32.81,35482,13742,14142,11352,1471,7480,11555,8.44,5.11,14.19,22.41,5.82,66.2,8.34,22.62,9.93,32.65,9.08,23.5,11.53,10.31,3.02,80.66,77.58,81.3,88.08,65.28,75.86,57,0.72,530,8.11,10.38,12.64,20.94,0.41,0.52,0.64,1.06,91.05,0.83,2.76,2.13,2.64,2.74,2.44,69.22,1.73,34.32,3,92.51,66.71,0.94,34.8,1977,2.79,0,60300,74000,92100,31800,224,318,433,209,410,27.1,21.7,11.2,0,0,5.04,22.11,46.4,67.45,71.48,11,957.3,0.38,190.95
10201,2.58,46.61,52.6,0.27,1.69,15.75,26.23,12.69,16.27,0,14579,61.23,1.49,23.56,37.9,23.03,15.18,18522,7989,11376,4244,1135,0,7427,36.51,17.41,40.75,8.97,11.85,44.74,19.69,23.22,19.02,20.66,12.88,30.93,18.17,15.99,3.22,44.28,35.52,46.97,36.91,62.19,66.42,1009,9.9,99,9.09,16.16,16.16,22.22,0.09,0.16,0.16,0.22,96.81,0.7,8.72,5.67,2.52,2.47,2.58,50.79,6.41,55.75,2,91.31,51.94,3.72,28.46,1965,16.21,1.83,29800,41100,57000,27200,99,180,286,187,234,27.3,16,12.8,3,13,0.97,62.93,50.52,83.21,92.08,6.5,1564.6,2.59,2650.26
11936,2.1,15.14,83.45,0.67,3.88,8.35,18.79,8.7,29.71,100,26233,53.87,0.1,50.45,51.07,5.94,27.92,33500,16125,18070,7000,10788,9170,5652,11.5,8.27,22.5,16.82,4.98,46.42,8.42,24.6,10.03,24,12.95,25.14,14.05,13.55,2.62,62.8,56.58,82.46,65.09,60.96,78.18,464,4.3,805,6.96,10.43,18.51,25.34,0.47,0.7,1.25,1.71,92.11,1.27,3.36,1.86,1.99,1.97,2.01,64.1,3.62,77.62,2,81.09,64.48,1.36,39.46,1974,4.94,0.37,58200,76500,99500,41300,322,424,514,192,507,29.7,19.8,11.1,26,1,6.74,22.41,48.16,72.13,80.17,4.6,2619.8,0,1095.46
10378,2.09,0.17,98.88,0.59,2.48,7.02,14.68,7.1,25.27,100,40934,62.09,0.28,63.47,45.18,2.4,18.97,53350,28696,28947,11200,0,14431,14473,4.98,5.74,14.88,27.58,4.36,53.1,8.33,21.79,5.15,32.86,10.12,18.74,10.32,10.23,2.61,85.71,85.85,100,97.32,71.38,61.96,12,0.14,942,4.99,6.9,15.5,21.55,0.45,0.63,1.41,1.96,89.29,1.35,1.73,1.09,2.09,2.15,1.76,86.31,0.77,53.45,2,86.28,83.77,12.66,27.97,1965,0.89,0,136300,193400,327200,190900,431,507,639,208,561,28.1,25.5,12.4,0,0,9.08,14.89,57.37,83.15,86.71,2.4,4367.8,0.89,178.57
62632,2.68,7.49,89.25,1.76,5.29,11.9,26.35,11.03,10.7,100,30287,80.75,0.56,39.9,23.58,3.82,20.37,32725,12645,13052,9057,11112,10037,9650,8.73,5.01,17.89,16.66,5.84,63.88,24.57,16.84,12.13,25.28,9.62,23.87,12.86,11.27,3.05,79.06,75.6,90.4,78.75,64.05,70.36,637,1.43,4611,13.29,17.5,25.46,32.38,0.98,1.29,1.87,2.38,90,1.11,3.99,3.04,2.67,2.7,2.63,67.42,2.79,38.6,3,88.79,66.83,1.32,22.21,1983,2.71,0.17,54600,67500,86300,31700,369,423,485,116,510,24.8,22.2,11.1,0,0,7.36,23.9,31.24,60.18,68.13,65.9,950.2,0.15,602.99
65452,2.45,5.26,91.28,1.99,11.51,10.07,22.93,9.64,18.32,99.75,36431,74.03,0.31,50.77,34.6,2.63,15.1,41827,16747,17128,12998,16407,12124,14534,5.08,5.08,18.2,20.9,3.51,60.67,7.93,22.33,5.92,30.76,8.16,22.54,12.53,10.53,2.87,80.41,78.9,89.94,80.27,68.81,75.74,835,1.81,9789,8.69,13.61,18.65,26.79,1.3,2.04,2.79,4.01,82.15,2.16,2.56,1.8,2.4,2.45,2.23,78.44,2.95,63.74,2,90.44,76.79,0.18,22.27,1981,0.33,0.12,77200,93800,118000,40800,522,608,676,154,685,27,22.1,13.7,0,0,14.96,24.78,41.18,62.37,79.51,33.1,1977.9,0.76,305.77
35317,2.36,1,97.72,0.78,1.95,10.4,20.43,9.47,21.3,100,26472,66.48,0.82,46.54,40.83,3.15,26.55,30693,13391,13401,15802,10908,5401,12017,8.22,5.35,20.23,15.26,4.54,55.3,7.84,22.45,8.63,24.67,9.46,20.81,12.41,11,2.75,78.23,75.48,89.78,72.82,67.41,77.94,254,0.92,1889,2.54,5.72,8.63,12.39,0.14,0.31,0.46,0.66,92.48,0.62,2.14,1.53,2.35,2.36,2.32,79.08,1.53,57.92,2,87.93,78.84,0.49,19.42,1981,2.2,0.26,65600,78900,95300,29700,367,443,515,148,547,28.7,24.3,11.8,0,0,5.35,20.28,41.21,66.7,73.03,20.8,1694,0.6,184.39
49998,2.48,31.88,62.42,2.41,24.56,11.61,26.48,12,13.09,100,24898,79.31,0.68,31.97,26.14,4.62,10.03,28424,13297,16380,7962,16151,11065,10062,15.48,11.25,30.7,17.89,8.23,62.11,9.49,24.17,11.81,22.63,13.98,33.22,17.9,16.08,3.14,61.82,58,74.4,62.44,73.88,76.96,2369,7.52,18587,14.81,26.29,37.14,51.63,5.5,9.77,13.81,19.19,54.79,8.9,8.32,5.03,2.44,2.71,2.18,54.1,15.46,77.26,2,91.04,48.68,1.62,18.18,1964,3.44,0.62,59800,71800,93500,33700,371,423,496,125,489,28.5,24.2,12.5,10,14,37.18,26.15,43.15,78.04,80.7,8.7,5728.5,7.87,1818.82
17906,2.42,8.04,90.62,0.69,1.8,11.58,20.95,10,21.35,100,25380,64.78,0.35,45.08,42.4,5.31,23.86,30490,13557,14492,4777,6615,4721,11631,10.82,8.74,25.82,15.15,6.91,48.87,9.35,22.66,9.51,25.66,10.78,22.29,12.05,11.45,2.86,71.49,66.37,76.15,76.61,58.05,65.91,378,2.55,1908,6.6,10.22,12.11,17.45,0.7,1.09,1.29,1.86,82.44,2.09,3.53,2.45,2.37,2.4,2.29,72.47,2.57,62.52,2,81.15,71.49,0.47,31.61,1976,5.45,0.29,59900,80700,111100,51200,253,355,459,206,424,29.5,25.3,12.7,5,0,10.66,25.03,48.4,70.72,78.23,9,1990.4,0.67,985.82
61492,2.34,2.9,94.38,1.9,5.59,11.1,21.72,11.1,18.96,100,42314,71.55,0.71,60.39,33.74,2.24,18.19,53544,28307,29325,7939,7633,14114,15372,5.51,3.65,11.56,34.86,3.29,58.08,8,23.72,4.89,37.49,8.39,27.41,10.7,9.6,2.78,81.02,79.93,91.36,83.84,52.43,62.4,417,0.98,8195,16.4,27.46,36.28,43.34,2.19,3.66,4.83,5.78,84.43,2.4,2.36,1.55,2.27,2.35,2.03,77.13,1.93,54.26,2,79.58,74.47,0.58,22.37,1974,0.74,0.09,118900,165300,277000,158100,480,581,692,212,656,28.3,24.3,12.1,0,0,13.33,14.83,45.32,65.31,76.26,28.2,2183.4,0.56,360.34
16543,2.1,8.12,91.25,0.4,1.03,7.94,15.9,7.56,31.81,100,23630,51.31,1.02,51.85,53.17,7.36,32.24,29015,14501,15262,5866,0,16211,13828,14.01,5.99,20.63,18.03,6.83,40.35,10.6,19.85,10.32,25.62,11.09,20.04,12.54,11.88,2.56,64.76,60.17,77.63,72.27,69.15,75.37,358,2.28,812,13.92,16.26,19.09,24.38,0.68,0.8,0.94,1.2,94.46,0.4,2.06,1.33,2.08,2.05,2.14,69.21,1.79,64.27,2,68.6,70.17,0.44,15.59,1973,6.27,0.22,53900,72700,99400,45500,252,361,473,221,455,30.5,25.1,12.7,6,0,4.91,21.73,49.19,71.69,79.61,15.2,1089.5,0,559.59
26506,2.92,14.54,80.05,2.88,12.14,14.05,30.97,13.46,6.13,100,36297,89.97,0.48,32.88,14.41,3.04,7.25,37049,13440,14386,9759,7754,9799,9960,6.68,5.18,17.28,14.88,5.04,74.42,11.91,16.25,9.35,20.1,10.57,30.97,14.39,12.51,3.28,75.66,72.49,84.42,74.82,66.25,73.96,604,3.79,4919,17.87,28.71,38.73,54.65,3.32,5.33,7.19,10.14,79.61,3.95,6.88,5.25,2.92,2.96,2.85,67.1,7.52,47.71,3,92.56,66.22,1.92,22.77,1979,1.73,0.16,66800,78500,90800,24000,500,551,653,153,658,27.2,23.3,13.8,0,0,18.56,23.5,36.97,69.85,74.96,4,6633.1,1.35,441.95
27341,2.29,45.6,51.64,1.4,5.98,10.47,22.1,10.09,27.04,100,20731,60.34,0.5,35.7,46.37,4.85,16.4,25156,11295,12840,9742,12488,8918,8642,14.17,11.42,31.89,9.68,7.49,49.28,9.74,24.3,12.29,16.83,10.01,26.99,13.46,11.98,2.87,55.44,52.24,65.39,59.06,71.77,77.43,1565,7.24,8871,13.8,23.79,34.28,48.11,4.48,7.72,11.12,15.61,79.27,3.36,5.54,3.34,2.26,2.14,2.49,62.51,6.97,81.04,2,85.93,65.98,0.92,36.7,1974,2.42,0.25,67300,79600,91300,24000,384,473,535,151,544,31.4,25.1,12.9,0,0,32.45,20.26,47.72,71.19,76.34,3.7,7341.8,4.92,1304.02
43426,2.39,0.96,96.08,1.87,3.26,10.77,23.15,10.32,20.76,100,26109,68.64,0.37,43.76,38.97,5.48,23.17,30542,12734,12851,9970,13091,10328,8778,9.28,7.65,26.22,10.85,4.17,57.15,20.21,17.01,14.37,20.48,11.5,22.76,14.6,13.17,2.81,71.5,67.95,80.62,76.25,72.36,78.23,371,1.04,2748,11.03,16.45,21.8,25.55,0.7,1.04,1.38,1.62,91.7,1.33,3.42,2.32,2.34,2.32,2.42,72.75,2.63,67.04,2,88.31,73.64,0.62,21.68,1975,4.06,0.14,51200,61900,75300,24100,352,411,479,127,498,26.7,22.2,12.1,12,12,6.33,22.92,48.35,78.37,82.01,14.4,3021.6,0.64,439.29
